Reg_cislo,Poradi,CJL_body,MA_body,MA_skola,Celkem,Prijat,Důvod_neprijeti
810189,102,39,40,60,99,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
817465,103,39,40,60,99,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
813761,104,32,44,66,98,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
813385,105,35,42,63,98,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
813248,106,33,43,64.5,97.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
810639,107,39,39,58.5,97.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
812063,109,28,46,69,97,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
813626,110,31,44,66,97,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
814025,111,31,44,66,97,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
806768,112,37,40,60,97,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
815118,113,32,43,64.5,96.5,NE,Přijat_na_více_prioritní_školu
802665,114,32,43,64.5,96.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
811106,115,30,44,66,96,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
817321,116,30,44,66,96,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
804758,117,33,42,63,96,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
814786,118,25,47,70.5,95.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
814917,119,34,41,61.5,95.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
815703,120,34,41,61.5,95.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
810154,121,29,44,66,95,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
800105,122,32,42,63,95,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
809558,123,32,42,63,95,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
802298,124,42,35,52.5,94.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
819829,126,25,46,69,94,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
816120,127,31,42,63,94,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
816922,128,37,38,57,94,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
807683,129,37,38,57,94,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
812949,130,27,44,66,93,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
804810,131,25,45,67.5,92.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
809149,132,31,41,61.5,92.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
804665,133,26,44,66,92,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
807437,134,32,40,60,92,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
805488,135,28,42,63,91,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
810970,136,31,40,60,91,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
806471,137,32,39,58.5,90.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
818656,138,33,38,57,90,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
811810,139,36,36,54,90,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
805459,140,28,41,61.5,89.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
814559,141,23,44,66,89,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
814714,142,26,42,63,89,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
805206,143,32,38,57,89,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
806328,144,30,39,58.5,88.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
808618,145,30,39,58.5,88.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
812971,146,36,35,52.5,88.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
810996,147,19,46,69,88,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
803699,148,29,39,58.5,87.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
807613,149,32,37,55.5,87.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
815297,150,35,35,52.5,87.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
812575,151,30,38,57,87,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
800963,152,42,30,45,87,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
807816,153,26,40,60,86,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
817127,154,29,38,57,86,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
811473,155,29,38,57,86,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
809045,156,32,36,54,86,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
816654,157,32,36,54,86,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
811644,158,32,36,54,86,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
817819,159,25,40,60,85,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
816196,160,28,38,57,85,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
819376,161,23,41,61.5,84.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
808359,162,26,39,58.5,84.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
814528,163,29,37,55.5,84.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
804590,164,32,35,52.5,84.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
812069,165,21,42,63,84,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
818107,166,33,34,51,84,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
813291,167,33,34,51,84,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
812084,168,26,38,57,83,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
805548,169,18,43,64.5,82.5,NE,Nepřijat_pro_nedostačující_kapacitu_oboru
